Year,zip3,Age Group,Asthma_Cases,ED_Visits,Avg_Length_of_Stay,Avg_Severity,Avg_Mortality_Risk,Total_Charges,Total_Costs,Avg_Costs,Medicaid_Cases,ED_Rate,Medicaid_Rate
2010,100,0 to 17,907,837,2.0751609937192947,1.2883784154643865,1.037870243416496,10984565.92,6114083.3100000005,5267.655519555975,0,0.9228224917309812,0.0
2010,100,18 to 29,233,208,2.496090811336801,1.48572320756877,1.121175649265692,3667256.97,1617234.12,6273.860779047281,0,0.8927038626609443,0.0
2010,100,30 to 49,678,583,3.277270332919065,1.9946115748477211,1.398401531753873,11509724.53,5086873.47,6953.87781429393,0,0.859882005899705,0.0
2010,100,50 to 69,1206,1056,4.869815212526903,1.9571874613581473,1.3996579520138912,29351122.32,11581206.97,8752.69776684884,0,0.8756218905472637,0.0
2010,100,70 or Older,691,560,4.441489605355884,1.9889659887915705,1.8561733195744825,18719426.12,6721517.279999999,9632.348039609553,0,0.8104196816208393,0.0
2010,101,0 to 17,21,20,2.142857142857143,1.238095238095238,1.0476190476190477,279956.32,131997.61000000002,6285.600476190477,0,0.9523809523809524,0.0
2010,101,30 to 49,10,9,2.5,1.7083333333333337,1.1666666666666663,259354.97000000003,75796.05,7185.947083333333,0,0.9,0.0
2010,101,50 to 69,12,11,2.0694444444444446,2.125,1.4305555555555556,147773.69,86684.3,8419.243055555557,0,0.9166666666666666,0.0
2010,101,70 or Older,11,11,6.392857142857142,2.196428571428571,2.446428571428571,561815.9,109234.93,10816.66517857143,0,1.0,0.0
2010,103,0 to 17,205,195,2.465558103975535,1.3500764525993882,1.0167376583660988,2418337.0,1474306.6,6612.913545216252,0,0.951219512195122,0.0
2010,103,18 to 29,71,70,2.950750750750751,1.4734234234234236,1.2791291291291291,808215.2,305723.79000000004,5008.873241741741,0,0.9859154929577464,0.0
2010,103,30 to 49,254,252,2.7914959016393444,1.4697745901639343,1.1424180327868854,4268147.78,1287392.22,5803.270696721312,0,0.9921259842519684,0.0
2010,103,50 to 69,281,275,3.6692176870748296,1.7553146258503405,1.246173469387755,7169459.53,2076800.42,6214.196522108844,0,0.9786476868327402,0.0
2010,103,70 or Older,121,120,6.172115384615385,2.055192307692308,1.9224725274725272,3791968.43,1180845.96,9386.309831868131,0,0.9917355371900828,0.0
2010,104,0 to 17,2922,2506,2.0046586701380793,1.2744508495442743,1.0178281593687246,32238950.12,15722742.36,4533.6468049014775,0,0.8576317590691307,0.0
2010,104,18 to 29,536,471,2.3427941920588977,1.4602773224096754,1.06416255190765,6568537.470000001,3171985.5,5868.684048288822,0,0.878731343283582,0.0
2010,104,30 to 49,1711,1442,3.2931029475289506,1.826495492056303,1.1519258784370183,27039338.860000003,13155508.36,7071.82240565411,0,0.842781998831093,0.0
2010,104,50 to 69,2374,2014,3.552752894850423,1.8803115234203065,1.4015798503536885,50359623.53,24959744.07,8399.898210332805,0,0.8483572030328559,0.0
2010,104,70 or Older,1012,893,6.039398165755076,2.40596489165785,2.050327365929327,25670015.82,11185764.47,11927.8998094545,0,0.8824110671936759,0.0
2010,105,0 to 17,197,185,2.493827160493827,1.3809523809523807,1.0123456790123455,3262469.3400000003,1362636.88,6279.541904761904,0,0.9390862944162436,0.0
2010,105,18 to 29,32,32,2.039855072463768,1.3405797101449275,1.0960144927536233,394199.12000000005,149637.11,3642.324981884058,0,1.0,0.0
2010,105,30 to 49,132,127,3.059873949579832,1.3743697478991597,1.15672268907563,2385946.76,894219.93,6460.25018487395,0,0.9621212121212122,0.0
2010,105,50 to 69,145,140,7.005982905982905,1.9790598290598291,1.4183760683760684,3922633.81,1599314.54,19063.04931196581,0,0.9655172413793104,0.0
2010,105,70 or Older,119,115,6.152703505644682,2.098514557338087,2.0207961972667854,2750929.86,996977.57,11142.15258348188,0,0.9663865546218487,0.0
2010,106,0 to 17,33,31,1.5625,1.078125,1.0,356940.38,160393.97,3244.05265625,0,0.9393939393939394,0.0
2010,106,18 to 29,4,4,3.0,1.25,1.0,36311.0,17191.12,4297.78,0,1.0,0.0
2010,106,30 to 49,18,18,5.911764705882353,1.3823529411764706,1.2058823529411766,1329425.96,469464.66,14588.687647058823,0,1.0,0.0
2010,106,50 to 69,38,36,5.364864864864865,1.5135135135135136,1.2432432432432432,1249558.57,513543.19,8468.527432432433,0,0.9473684210526316,0.0
2010,106,70 or Older,22,22,5.090909090909091,1.9090909090909092,1.5454545454545454,424771.41,180778.91,8217.223181818183,0,1.0,0.0
2010,107,0 to 17,132,115,1.763111111111111,1.3422222222222224,1.0186666666666666,1899347.57,738586.42,4275.97908,0,0.8712121212121212,0.0
2010,107,18 to 29,27,24,3.786666666666666,2.08,1.6666666666666667,277528.37,130477.6,17468.130133333336,0,0.8888888888888888,0.0
2010,107,30 to 49,101,85,2.7729591836734695,2.1479591836734695,1.538265306122449,1439418.2100000002,590257.22,4869.953290816326,0,0.8415841584158416,0.0
2010,107,50 to 69,179,163,6.0866477272727275,2.2201704545454546,1.5738636363636362,3834243.19,1584457.48,16335.355795454543,0,0.9106145251396648,0.0
2010,107,70 or Older,112,101,3.95945945945946,1.9864864864864864,1.954954954954955,2451443.2199999997,942091.31,8100.125720720722,0,0.9017857142857144,0.0
